age,county,median,upper,lower
40,Medellin-Ant,-10.428833277204633,-9.975167241771988,-10.950430078271243
40,Bello-Ant,-10.156289242969425,-9.42355093229619,-11.238934139628723
40,Barranquilla-Atl,-9.721889592921436,-9.229710239459692,-10.254661248982773
40,Soledad-Atl,-10.993749491321493,-9.78466815680626,-12.388507076152
40,Cartagena-Bol,-9.618818885412262,-9.079043933265499,-10.14849184992112
40,Manizales-Cal,-10.163380668003338,-9.011331556276543,-11.133515626759882
40,Valledupar-Ces,-9.630513952445014,-8.971861258498963,-10.389112082873027
40,Monteria-Cor,-9.054178784825641,-8.418220185684648,-9.707344636470577
40,Soacha-Cun,-10.019909756135554,-9.307955618743382,-10.800034015159817
40,Santa Marta-Mag,-9.482845344177555,-8.794307843164223,-10.19016597630939
40,Villavicencio-Met,-9.457488543919684,-8.69301482213722,-11.361239234069444
40,Pasto-Nar,-9.404471986634093,-8.791745233025745,-10.142673915726363
40,Cucuta-N.,-9.200270434330605,-8.5914514712475345,-10.54964145177782
40,Pereira-Ris,-9.303545936946819,-8.692838212879558,-9.90437893073218
40,Bucaramanga-San,-10.521541556632807,-9.790025462613013,-11.633266619087289
40,Ibague-Tol,-9.804938806997454,-9.19642484250739,-10.627923916372076
40,Cali-Val,-9.651920243290569,-9.231633062568227,-10.045301525089938
40,Buenaventura-Val,-10.096927941059088,-9.283817846390438,-11.032297919897111
45,Medellin-Ant,-9.456208133596709,-8.996690723807784,-9.9755328040996325
45,Bello-Ant,-9.373035593617637,-8.567491419589997,-10.41542146590088
45,Barranquilla-Atl,-8.905992248061242,-8.397265802758735,-9.49004027769926
45,Soledad-Atl,-10.004243044199935,-8.660591847229792,-11.415722650686943
45,Cartagena-Bol,-8.805352943536878,-8.239292554263793,-9.375627695680473
45,Manizales-Cal,-9.23968707580061,-8.06401033308768,-10.29046594537697
45,Valledupar-Ces,-8.974567576874438,-8.281569351252871,-9.782868886245103
45,Monteria-Cor,-8.42298686693691,-7.777988141887846,-9.119689919163527
45,Soacha-Cun,-9.184712915327157,-8.411898942872462,-9.9878567824582
45,Santa Marta-Mag,-8.658074838656026,-7.95912682628818,-9.398290628416484
45,Villavicencio-Met,-8.923674080379898,-8.095373025772584,-10.828600189898875
45,Pasto-Nar,-8.764134569265341,-8.087805204228692,-9.4948616060799491
45,Cucuta-N.,-8.697135379874915,-8.075328188226171,-10.177479438097809
45,Pereira-Ris,-8.575503905388707,-7.951207256899476,-9.193297114580481
45,Bucaramanga-San,-9.939789678735654,-9.11032114147907,-11.021175042348485
45,Ibague-Tol,-9.072338639804947,-8.420327998180555,-9.884173128776371
45,Cali-Val,-8.960008927726381,-8.582294047977072,-9.394413958749102
45,Buenaventura-Val,-9.094611139410265,-8.195577319898456,-10.075464689145402
50,Medellin-Ant,-9.054731075243385,-8.840517620090697,-9.268081837823347
50,Bello-Ant,-8.54728102489285,-8.1711020346622,-8.956155664719082
50,Barranquilla-Atl,-8.327168539409806,-8.090595154576782,-8.569745014648452
50,Soledad-Atl,-9.474286772419742,-8.920333395973149,-10.097002552193006
50,Cartagena-Bol,-8.328902127179353,-8.074719610701163,-8.58533144057487
50,Manizales-Cal,-8.87905579809761,-8.453844593101731,-9.30278524436128
50,Valledupar-Ces,-8.073645447055597,-7.754368371359943,-8.417387010418002
50,Monteria-Cor,-7.703580099842669,-7.417777863007346,-7.9886213090126645
50,Soacha-Cun,-8.633537534607958,-8.281128471588193,-9.021512012357515
50,Santa Marta-Mag,-8.27919923432352,-7.9486851620888155,-8.627478391429182
50,Villavicencio-Met,-7.833779991480052,-7.474689304890131,-8.463967475974325
50,Pasto-Nar,-7.809834329690572,-7.512213274584436,-8.11740876786303
50,Cucuta-N.,-7.609881553082449,-7.351833809960982,-8.0783191224651425
50,Pereira-Ris,-7.9929305049430734,-7.732071449990449,-8.276012629514879
50,Bucaramanga-San,-8.468551882584075,-8.145369810059476,-8.832280278020582
50,Ibague-Tol,-8.262741195541592,-7.978432109222607,-8.581506204664356
