ano;edad;municipio;modelo;Mediana;LI95;LS95
2005;75-79;Medellin-Antioquia;Alexander;458,4847134;390,8061936;535,9477508
2005;75-79;Soledad-Atlantico;Alexander;140,0602282;76,18031232;231,3747009
2005;75-79;Bogota, D.C.;Alexander;403,9864398;354,5749461;457,0899847
2005;75-79;Popayan-Cauca;Alexander;390,8329913;258,7756889;578,6515196
2005;75-79;Valledupar-Cesar;Alexander;438,8073097;287,5802947;643,5708714
2005;75-79;Fuente De Oro-Meta;Alexander;544,9067229;235,0522967;1287,297895
2005;75-79;Mocoa-Putumayo;Alexander;273,1486689;104,4618234;609,6739458
2010;75-79;Medellin-Antioquia;Alexander;289,8892092;239,8785783;346,5193515
2010;75-79;Soledad-Atlantico;Alexander;99,90293312;57,29906494;163,6670628
2010;75-79;Bogota, D.C.;Alexander;414,404866;368,9509941;466,0227566
2010;75-79;Popayan-Cauca;Alexander;283,8265824;184,4675621;433,7175568
2010;75-79;Valledupar-Cesar;Alexander;498,0600584;338,5481781;699,4030656
2010;75-79;Fuente De Oro-Meta;Alexander;218,7473138;68,67316848;566,9214841
2010;75-79;Mocoa-Putumayo;Alexander;203,8368802;76,18854472;466,0922268
2017;75-79;Medellin-Antioquia;Alexander;183,5350314;149,2775446;225,3432885
2017;75-79;Soledad-Atlantico;Alexander;99,22063592;59,85515921;159,2171876
2017;75-79;Bogota, D.C.;Alexander;251,5984459;220,9397848;282,9526053
2017;75-79;Popayan-Cauca;Alexander;379,8367542;261,1826425;530,3652002
2017;75-79;Valledupar-Cesar;Alexander;480,2174496;340,3090491;651,8229634
2017;75-79;Fuente De Oro-Meta;Alexander;321,663659;101,5535903;957,0320872
2017;75-79;Mocoa-Putumayo;Alexander;238,5697056;95,29735722;529,4713062
2005;40-44;Medellin-Antioquia;Alexander;2,154007309;1,084231022;4,071980306
2005;40-44;Soledad-Atlantico;Alexander;9,44687E-07;2,58521E-08;2,36815E-05
2005;40-44;Bogota, D.C.;Alexander;1,859510398;1,126291447;2,976871573
2005;40-44;Popayan-Cauca;Alexander;0,001071767;7,09254E-05;0,013872527
2005;40-44;Valledupar-Cesar;Alexander;0,683802312;0,083624459;4,344513638
2005;40-44;Fuente De Oro-Meta;Alexander;0,065227614;6,57594E-05;17,40219318
2005;40-44;Mocoa-Putumayo;Alexander;0,003183487;1,08768E-05;0,459299545
2010;40-44;Medellin-Antioquia;Alexander;0,578774935;0,209326163;1,446449031
2010;40-44;Soledad-Atlantico;Alexander;4,36354E-08;1,00339E-09;1,60485E-06
2010;40-44;Bogota, D.C.;Alexander;2,172947339;1,34287669;3,327440027
2010;40-44;Popayan-Cauca;Alexander;3,4067E-06;1,40429E-07;7,07749E-05
2010;40-44;Valledupar-Cesar;Alexander;0,074260941;0,008132291;0,619233574
2010;40-44;Fuente De Oro-Meta;Alexander;1,42563E-05;4,96543E-10;0,036197283
2010;40-44;Mocoa-Putumayo;Alexander;3,39871E-07;6,27747E-11;0,000308052
2017;40-44;Medellin-Antioquia;Alexander;0,098338897;0,028151544;0,319477499
2017;40-44;Soledad-Atlantico;Alexander;2,01749E-06;8,46795E-08;3,22261E-05
2017;40-44;Bogota, D.C.;Alexander;2,461793711;1,592447445;3,729306561
2017;40-44;Popayan-Cauca;Alexander;0,03840968;0,004621013;0,327178628
2017;40-44;Valledupar-Cesar;Alexander;0,091631159;0,011065596;0,686933006
2017;40-44;Fuente De Oro-Meta;Alexander;0,000163705;3,08617E-08;0,148258679
2017;40-44;Mocoa-Putumayo;Alexander;2,14413E-05;3,24882E-08;0,005863805
2005;20-24;Medellin-Antioquia;Alexander;0,269809325;0,109711121;0,682633535
2005;20-24;Soledad-Atlantico;Alexander;0,001291961;0,00021562;0,008519565
2005;20-24;Bogota, D.C.;Alexander;0,228630603;0,105712653;0,481381473
2005;20-24;Popayan-Cauca;Alexander;0,015098872;0,00296939;0,059284936
2005;20-24;Valledupar-Cesar;Alexander;0,107534363;0,026688097;0,39639201
2005;20-24;Fuente De Oro-Meta;Alexander;0,074114423;0,005191747;0,667711054
2005;20-24;Mocoa-Putumayo;Alexander;0,020921828;0,002301378;0,193121355
2010;20-24;Medellin-Antioquia;Alexander;0,250450282;0,08644162;0,758423777
2010;20-24;Soledad-Atlantico;Alexander;0,000484351;6,63734E-05;0,003414361
2010;20-24;Bogota, D.C.;Alexander;0,175160972;0,082876141;0,370507189
2010;20-24;Popayan-Cauca;Alexander;0,002533616;0,000380207;0,011901247
2010;20-24;Valledupar-Cesar;Alexander;0,142997601;0,035259376;0,65147744
2010;20-24;Fuente De Oro-Meta;Alexander;0,004519097;0,000124377;0,088123659
2010;20-24;Mocoa-Putumayo;Alexander;0,001286053;5,83285E-05;0,015575105
2017;20-24;Medellin-Antioquia;Alexander;0,157255616;0,044936558;0,552407368
2017;20-24;Soledad-Atlantico;Alexander;0,001892599;0,000240374;0,013349247
2017;20-24;Bogota, D.C.;Alexander;0,124674036;0,051556855;0,271578266
2017;20-24;Popayan-Cauca;Alexander;0,049517637;0,008419342;0,26548056
2017;20-24;Valledupar-Cesar;Alexander;0,12289579;0,024428303;0,633338148
2017;20-24;Fuente De Oro-Meta;Alexander;0,009293031;0,000339553;0,179380941
2017;20-24;Mocoa-Putumayo;Alexander;0,004811355;0,000284591;0,055870439
2005;75-79;Medellin-Antioquia;Cero Inf;456,9609948;389,6737419;534,3017494
2005;75-79;Soledad-Atlantico;Cero Inf;148,1454192;81,83820227;234,3023485
2005;75-79;Bogota, D.C.;Cero Inf;403,987324;354,6374249;458,1806442
2005;75-79;Popayan-Cauca;Cero Inf;388,9005482;264,4584901;578,3002889
2005;75-79;Valledupar-Cesar;Cero Inf;459,4724989;295,4189105;670,7754964
2005;75-79;Fuente De Oro-Meta;Cero Inf;1093,816084;463,3845566;2722,604303
2005;75-79;Mocoa-Putumayo;Cero Inf;676,7380731;297,7270942;1449,191444
2010;75-79;Medellin-Antioquia;Cero Inf;287,4178806;236,646652;344,4120565
2010;75-79;Soledad-Atlantico;Cero Inf;103,1116517;57,62559363;170,5912358
2010;75-79;Bogota, D.C.;Cero Inf;414,410978;366,2528905;464,1512756
2010;75-79;Popayan-Cauca;Cero Inf;282,4547316;185,6453334;431,4596866
2010;75-79;Valledupar-Cesar;Cero Inf;499,0694133;341,8516551;714,7059658
2010;75-79;Fuente De Oro-Meta;Cero Inf;398,1473403;127,1570141;1268,08709
2010;75-79;Mocoa-Putumayo;Cero Inf;530,4324494;201,04419;1381,715924
2017;75-79;Medellin-Antioquia;Cero Inf;182,2411014;147,6481977;223,0132526
2017;75-79;Soledad-Atlantico;Cero Inf;101,0054855;59,85537765;161,7370576
2017;75-79;Bogota, D.C.;Cero Inf;249,975479;219,7462483;283,8966574
2017;75-79;Popayan-Cauca;Cero Inf;381,7375059;262,8569493;548,9110894
2017;75-79;Valledupar-Cesar;Cero Inf;480,2132198;339,6283857;660,133686
2017;75-79;Fuente De Oro-Meta;Cero Inf;400,0602711;120,2699592;1209,199603
2017;75-79;Mocoa-Putumayo;Cero Inf;461,4005151;157,3153871;1337,164295
2005;40-44;Medellin-Antioquia;Cero Inf;2,178889614;1,015197307;4,085889328
2005;40-44;Soledad-Atlantico;Cero Inf;8,1523E-07;1,72757E-08;2,70632E-05
2005;40-44;Bogota, D.C.;Cero Inf;1,848758552;1,10006038;2,875273962
2005;40-44;Popayan-Cauca;Cero Inf;0,001013275;6,6343E-05;0,016002755
2005;40-44;Valledupar-Cesar;Cero Inf;0,972926821;0,109666516;6,243006369
2005;40-44;Fuente De Oro-Meta;Cero Inf;1118,082944;0,116169899;3894970,131
2005;40-44;Mocoa-Putumayo;Cero Inf;36,84731758;0,361459126;374,6776777
2010;40-44;Medellin-Antioquia;Cero Inf;0,603861272;0,217170658;1,430170127
